,Oración 1,Oración 2,Similitud
0,"las enfermedades transmitidas por los alimentos, las bacterías, los parásitos y las toxinas químicas son más comunes en carnes comerciales.","el poder proteger al medio resulta bueno para todos, lo cual el veganismo proporciona un impacto positivo.",0.34928175806999207
1,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,"en el caso hormonal, el estrógeno suele ser el responsable del cancer cuando se consume excesivamente.",0.42840775847435
2,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,"las parásitos, bacterias y toxinas químicas culpables de las enfermedades transmitidas por los alimentos se encuentran más comúnmente en las carnes comerciales.",0.4301302134990692
3,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,las hormonas sexuales que circulan en el organismo se pueden mantener inactivas hasta que las necesiten.,0.435421884059906
4,"las enfermedades transmitidas por los alimentos, las bacterías, los parásitos y las toxinas químicas son más comunes en carnes comerciales.","en el caso hormonal, el estrógeno suele ser el responsable del cancer cuando se consume excesivamente.",0.43846771121025085
5,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,el incremento de este tipo de vida se ha reflejado por el fácil acceso.,0.43848717212677
6,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,"gracias a los alimentos orgánicos, los platillos veganos siempre se sienten refrescantes.",0.4443429708480835
7,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,mantener un criadero de animales ha producido un alto impacto en los cultivos y el agua del planeta.,0.44715067744255066
8,"las enfermedades transmitidas por los alimentos, las bacterías, los parásitos y las toxinas químicas son más comunes en carnes comerciales.","una dieta de duración de al menos 5 días puede reflejar un cambio en la alimentación, lo cual trae consigo un nuevo inicio para una vida energética.",0.448289155960083
9,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,los alimentos cárnicos tienen mayor probabilidad de provocar enfermedades debido a los microbios y parásitos aunado a las sustancias químicas.,0.44910067319869995
10,"las enfermedades transmitidas por los alimentos, las bacterías, los parásitos y las toxinas químicas son más comunes en carnes comerciales.",el veganismo es la opción más saludable y benéfica para el organismo.,0.4508104622364044
11,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,las grasas saturadas se encuentran en niveles más altos en los carnívoros que en los no carnívoros.,0.46311521530151367
