,Oración 1,Oración 2,Similitud
0,"con esto, es posible mejorar el rendimiento atlético. muchos deportistas comen saludablemente.","a su vez, se puede optimizar el desempeño deportivo. bastantes atletas se alimentan sanamente.",0.6371713280677795
1,"la producción de carne y otros productos animales supone una pesada carga para el medio ambiente, desde cultivos y agua necesarios para alimentar a los animales.",mantener un criadero de animales ha producido un alto impacto en los cultivos y el agua del planeta.,0.6903822422027588
2,proteger el medio ambiente es beneficioso para todos nosotros y el hecho de ser vegano tiene un impacto positivo en esto.,cuidar el medio ambiente beneficia a todas las personas y ser vegano nos ayuda mucho a este propósito.,0.6918347477912903
3,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,"el veganismo, suele ser saludable lo cual acompaña de grandes beneficios.",0.7024372220039368
4,las hormonas como el estrógeno pueden ser responsables de causar cáncer si los niveles se vuelven excesivos.,una de las causas de tumores malignos es el alto nivel de hormonas y estrógenos.,0.7073767781257629
5,proteger el medio ambiente es beneficioso para todos nosotros y el hecho de ser vegano tiene un impacto positivo en esto.,"nosotros somos los beneficiados con la protección del entorno, y la hazaña de ser vegano deja una marca positiva en esto.",0.7085263133049011
6,"con esto, es posible mejorar el rendimiento atlético. muchos deportistas comen saludablemente.","debido a ello, se puede mejorar el rendimiento atletico, y se ve en deportistas que suelen comer sanamente.",0.7112070322036743
7,las hormonas como el estrógeno pueden ser responsables de causar cáncer si los niveles se vuelven excesivos.,una de las causas de cáncer suele ser los altos niveles de la hormona estrógeno.,0.7145742177963257
8,"con esto, es posible mejorar el rendimiento atlético. muchos deportistas comen saludablemente.",esto posibilita mejorar las capacidades atléticas. una gran cantidad de personas que hacen deporte se alimentan de forma saludable.,0.7165294289588928
9,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,el veganismo es la opción más saludable y benéfica para el organismo.,0.7197475433349609
10,"hay un elemento de frescura en la mayoría de los platos a base de plantas, especialmente cuando se trata de productos orgánicos.","gracias a los alimentos orgánicos, los platillos veganos siempre se sienten refrescantes.",0.7307985424995422
11,"las enfermedades transmitidas por los alimentos, las bacterías, los parásitos y las toxinas químicas son más comunes en carnes comerciales.","la carne suele causar enfermedades, pues suele tener bacterias, parásitos y toxinas químicas.",0.7317507266998291
12,"una ventaja bastante positiva de este método es la reducción de peso. generalmente, los veganos no sufren de obesidad.","comúnmente, los veganos no presentan obesidad, con lo que el veganismo presenta algo positivo al bajar de peso.",0.7327055931091309
13,las hormonas como el estrógeno pueden ser responsables de causar cáncer si los niveles se vuelven excesivos.,"en el caso hormonal, el estrógeno suele ser el responsable del cancer cuando se consume excesivamente.",0.7328875064849854
14,"con esto, es posible mejorar el rendimiento atlético. muchos deportistas comen saludablemente.","también les ayuda a mejorar su rendimiento deportivo, muchos atletas siguen este método de alimentación.",0.7377620935440063
15,"hay un elemento de frescura en la mayoría de los platos a base de plantas, especialmente cuando se trata de productos orgánicos.","el frescor es inherente en los platillos que tienen vegetales como ingrediente principal, sobre todo si los artículos son orgánicos.",0.7426289319992065
16,"con esto, es posible mejorar el rendimiento atlético. muchos deportistas comen saludablemente.","gracias a esto, el rendimiento atlético se puede mejorar. la mayoría de los deportistas tienen una dieta saludable.",0.7660955190658569
17,"a su vez, esto puede mejorar el estado de ánimo. investigaciones han revelado que los veganos pueden ser más felices que sus homólogos carnívoros.",esto puede ocasionar una mejora en el estado anímico. hay investigaciones que nuestran una mayor felicidad en veganos que en carnívoros.,0.7677664160728455
18,proteger el medio ambiente es beneficioso para todos nosotros y el hecho de ser vegano tiene un impacto positivo en esto.,"mantener un estilo de vida vegano trae beneficios a todos, ya que se cuida al medio ambiente.",0.7766633629798889
19,"sin embargo, para cuidar de la salud, se deberían comer ciertos alimentos y restringir otros cuantos.","aunque, para tener una buena salud, debemos cuidar lo que comemos.",0.7826293706893921
20,"incluso los gastos de producción, el transporte y otros procesos involucrados desde la granja a la mesa son elementos detonantes.","si tomamos en cuenta llevar el producto desde la granja a tu mesa, los gastos del producto son muy elevados.",0.8087277412414551
21,"el consumo de estos alimentos ha ido en aumento por los estilos de vida que se han ido adquiriendo y son accesibles, en general.",el incremento de este tipo de vida se ha reflejado por el fácil acceso.,0.8099818825721741
22,una dieta de este tipo por cinco días puede ayudar a ver cómo un cambio en nuestra alimentación puede ser un nuevo inicio para una vida llena de energía.,"los cambios en la alimentación puede llenarte de energía, si mantienes una dieta vegana mínimo por 5 días se notará el cambio en el organismo.",0.8127868175506592
23,"de igual forma, los veganos disfrutan de vidas más largas y saludables en comparación con aquellos que consumen carne.",las personas que no consumen animales gozan de una vida más longeva y sana que las personas que comen carne.,0.8138239979743958
24,los veganos tienen niveles de estrógeno más bajos que los no veganos en parte debido al menor contenido de grasa de su dieta.,las grasas saturadas se encuentran en niveles más altos en los carnívoros que en los no carnívoros.,0.8268088698387146
25,"el consumo de estos alimentos ha ido en aumento por los estilos de vida que se han ido adquiriendo y son accesibles, en general.","debido a los nuevos estilos de vida, y a su general accesibilidad, consumir estos alimentos ha tenido un alza.",0.8287724852561951
26,"incluso los gastos de producción, el transporte y otros procesos involucrados desde la granja a la mesa son elementos detonantes.","en cuestion de gastos de producción, procesos, transporte también representan un gasto mayor.",0.8309734463691711
27,"asimismo, es más fácil prevenir distintos tipos de enfermedades como las cardíacas debido al hecho de que contienen menos grasas saturadas.","de la misma manera, ya que la comida no tiene grasas saturadas, es más sencillo prevenir enfermedades cardiovasculares.",0.8377326130867004
28,una dieta de este tipo por cinco días puede ayudar a ver cómo un cambio en nuestra alimentación puede ser un nuevo inicio para una vida llena de energía.,seguir esta dieta por incluso 5 días nos permite ver cómo modificar nuestra alimentación puede traer consigo una vida llena de energía.,0.8387772440910339
29,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,son muy grandes los beneficios y es definitivamente la opción más saludable.,0.8424721956253052
30,la dieta vegana desempeña un papel relevante en la reducción de ataques de migraña porque estas se relacionan a menudo con alimentos como el chocolate y el queso.,"una alimentación que evita los productos de origen animal (como los lácteos, por ejemplo, chocolate o queso) ayuda en gran medida a la disminución de ataques de migraña, que tienen una gran relación con estos alimentos.",0.8471517562866211
31,"las enfermedades transmitidas por los alimentos, las bacterías, los parásitos y las toxinas químicas son más comunes en carnes comerciales.",los alimentos cárnicos tienen mayor probabilidad de provocar enfermedades debido a los microbios y parásitos aunado a las sustancias químicas.,0.8494732975959778
32,"desde nuestro estado de ánimo hasta nuestro sistema inmunológico, el estilo de vida vegano nos proporciona una gran variedad de beneficios para la salud.","el ser vegano nos ofrece muchísimas ventajas para nuestra salud, repercutiendo en nuestro humor y en las defensas del cuerpo.",0.8559704422950745
33,"desde nuestro estado de ánimo hasta nuestro sistema inmunológico, el estilo de vida vegano nos proporciona una gran variedad de beneficios para la salud.","el veganismo da muchos beneficios en la salud, el cual afecta desde el estado de ánimo e incluso en nuestro sistema inmunológico.",0.8563278317451477
34,"asimismo, es más fácil prevenir distintos tipos de enfermedades como las cardíacas debido al hecho de que contienen menos grasas saturadas.","igualmente, esta dieta contribuye a prevenir diversas enfermedades como las de tipo cardiovascular gracias a la cantidad reducida de grasas saturadas.",0.8571739196777344
35,"asimismo, es más fácil prevenir distintos tipos de enfermedades como las cardíacas debido al hecho de que contienen menos grasas saturadas.","de igual forma, la prevención de las diferentes afecciones como las enfermedades cardiacas se realiza de una mejor forma, esto se debe a que hay una menor cantidad de grasas saturadas.",0.86016446352005
36,los veganos tienen niveles de estrógeno más bajos que los no veganos en parte debido al menor contenido de grasa de su dieta.,las personas veganas poseen menores niveles de estrógeno que las personas que consumen carne gracias a que consumen menos grasa en su alimentación.,0.8667353987693787
37,una dieta de este tipo por cinco días puede ayudar a ver cómo un cambio en nuestra alimentación puede ser un nuevo inicio para una vida llena de energía.,con solo 5 días tomando este régimen alimenticio le permite notar como el tipo de alimentación influye para una vida de salud y energía.,0.8671916723251343
38,las hormonas como el estrógeno pueden ser responsables de causar cáncer si los niveles se vuelven excesivos.,el estrógeno es una de las hormonas que podrían ser causantes de la aparición del cáncer si los índices llegan a ser muy altos.,0.8674996495246887
39,"la dieta común de las personas consiste en carnes, frutas, vegetales y todo cuanto sea comestible y se encuentre a nuestro alcance.","normalmente lo que come la gente, en su día a día, suele ser carnes, frutas, vegetales, además de todo lo que pueda comer y esté cerca.",0.8684527277946472
40,"con esto, es posible mejorar el rendimiento atlético. muchos deportistas comen saludablemente.","parte de la dieta que llevan los atletas es saludable, con esto es altamente factible que se mejore el rendimiento del deporte.",0.8687684535980225
41,"las enfermedades transmitidas por los alimentos, las bacterías, los parásitos y las toxinas químicas son más comunes en carnes comerciales.","así mismo, se pueden encontrar más enfermedades transmitidas por alimentos, bacterias, parásitos y toxinas químicas en carnes comerciales.",0.8692307472229004
42,la dieta vegana desempeña un papel relevante en la reducción de ataques de migraña porque estas se relacionan a menudo con alimentos como el chocolate y el queso.,una alimentación a base de vegetales cumple un papel sobresaliente en los dolores intensos de cabeza ya que se relacionan a los alimentos a base de lácteos o cacao.,0.8703956007957458
43,"asimismo, es más fácil prevenir distintos tipos de enfermedades como las cardíacas debido al hecho de que contienen menos grasas saturadas.",se puede prevenir más facilmente diferentes enfermedades cardiacas debido a que no contienen gran cantidad de grasas saturadas.,0.8716996908187866
44,proteger el medio ambiente es beneficioso para todos nosotros y el hecho de ser vegano tiene un impacto positivo en esto.,"el poder proteger al medio resulta bueno para todos, lo cual el veganismo proporciona un impacto positivo.",0.8724767565727234
45,"a su vez, esto puede mejorar el estado de ánimo. investigaciones han revelado que los veganos pueden ser más felices que sus homólogos carnívoros.","al mismo tiempo, esto aumenta el estado emocional. estudios dicen que los que son veganos tienen mejor humor que la gente que come carne.",0.8726702928543091
46,"el consumo de estos alimentos ha ido en aumento por los estilos de vida que se han ido adquiriendo y son accesibles, en general.",la alimentación vegana ha ido en aumento debido a los modos de vida modernos que han envuelto a la población y que son más asequibles.,0.8750125765800476
47,"además, tienen más de ciertas moléculas que se unen a las hormonas sexuales que circulan en la sangre y tienen la función de mantenerlas inactivas hasta que se necesiten.",las hormonas sexuales que circulan en el organismo se pueden mantener inactivas hasta que las necesiten.,0.8751383423805237
48,"de igual forma, los veganos disfrutan de vidas más largas y saludables en comparación con aquellos que consumen carne.",los carnívoros mantienen bajos niveles de salud si los comparamos con alguien de dieta vegana.,0.8758248686790466
49,"a su vez, esto puede mejorar el estado de ánimo. investigaciones han revelado que los veganos pueden ser más felices que sus homólogos carnívoros.",este estilo de vida influye positivamente en el estado de ánimo; los investigadores han confirmado que los veganos tienen niveles de felicidad más altos que las personas que sí incluyen productos de origen animal en la dieta.,0.8762162327766418
50,"estas dietas tienen un alto valor nutricional, pero en ausencia de carne, es vital e importante asegurarse de consumir todas las cantidades correctas de proteínas.","a pesar de que esta forma de alimentación es muy nutritiva, debido a la ausencia de carne, es fundamental ingerir las proteínas necesarias.",0.8771512508392334
51,"incluso los gastos de producción, el transporte y otros procesos involucrados desde la granja a la mesa son elementos detonantes.","la cadena productiva, incluyendo transporte, son elementos perjudiciales.",0.8781455755233765
52,"de igual forma, los veganos disfrutan de vidas más largas y saludables en comparación con aquellos que consumen carne.","como parte de los beneficios de una dieta vegana, está la longevidad, aquellos que siguen esta dieta disfrutan de vidas más saludables y largas que aquellos que no lo hacen.",0.8795485496520996
53,una alimentación enteramente sin carne o producto animal tienen un gran potencial para evitar las causas de mortalidad más frecuentes en europa.,el alimentarse sin ningún tipo de productos de origen animal evitan enormemente las principales causas de muerte en el viejo mundo.,0.8796676993370056
54,"una ventaja bastante positiva de este método es la reducción de peso. generalmente, los veganos no sufren de obesidad.","algo muy positivo de este sistema es el poder bajar de peso. casi siempre, las personas veganas no padecen de adiposis.",0.8823032379150391
55,"sin embargo, para cuidar de la salud, se deberían comer ciertos alimentos y restringir otros cuantos.","aunque, para mantener la salud, algunas comidas deberán de ser consumidas al mismo tiempo que otras que son moderadas.",0.8827548027038574
56,"incluso los gastos de producción, el transporte y otros procesos involucrados desde la granja a la mesa son elementos detonantes.","otro elemento importante a tomar en cuenta es el costo de producción, transporte y demás procesos involucrados en llevar cada alimento a la mesa.",0.8831138014793396
57,las hormonas como el estrógeno pueden ser responsables de causar cáncer si los niveles se vuelven excesivos.,el cáncer puede ser causado por hormonas como el estrógeno si excede sus niveles adecuados.,0.8832802176475525
58,una dieta de este tipo por cinco días puede ayudar a ver cómo un cambio en nuestra alimentación puede ser un nuevo inicio para una vida llena de energía.,alimentarse así por cinco días podría develar cómo un cambio en lo que ingerimos puede devenir en una vida más saludable y activa.,0.8848446011543274
59,"aunque no sólo el cuerpo sale beneficiado, pues es posible proteger el medio ambiente porque se requiere menos energía y tierras de cultivo para alimentar a un vegano.","no solo el cuerpo humano se beneficia, pues debido a que ocupa menos superficie de tierra y requiere menos energía la producción también la naturaleza sale beneficiada.",0.885003387928009
60,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,es una elección en definitiva muy sana y beneficiosa.,0.8850453495979309
61,los veganos tienen niveles de estrógeno más bajos que los no veganos en parte debido al menor contenido de grasa de su dieta.,"la gente que no consume productos de origen animal posee niveles de estrógeno inferiores, debido a la menor ingesta de grasa.",0.8857970833778381
62,"desde nuestro estado de ánimo hasta nuestro sistema inmunológico, el estilo de vida vegano nos proporciona una gran variedad de beneficios para la salud.",mantener una alimentación vegana mantiene un sistema inmunológico y anémico otorga grandes beneficios de salud.,0.887628972530365
63,"a su vez, esto puede mejorar el estado de ánimo. investigaciones han revelado que los veganos pueden ser más felices que sus homólogos carnívoros.",estudios revelan que las personas que mantienen una dieta vegana suelen ser más felices que los carnívoros ya que mejora su estado de ánimo.,0.8880937695503235
64,"estas dietas tienen un alto valor nutricional, pero en ausencia de carne, es vital e importante asegurarse de consumir todas las cantidades correctas de proteínas.","esos regímenes alimenticios contienen una gran cantidad de nutrientes, pero a falta de alimento de origen animal, es idealmente significativo asegurarse de comer la cantidad óptima de alimentos proteicos.",0.8894166946411133
65,"una ventaja bastante positiva de este método es la reducción de peso. generalmente, los veganos no sufren de obesidad.",una virtud altamente buena del método vegano es que generalmente las personas no sufren de sobrepeso.,0.8899828195571899
66,"hay un elemento de frescura en la mayoría de los platos a base de plantas, especialmente cuando se trata de productos orgánicos.",los artículos orgánicos tienen a su favor la frescura porque los platillos contienen una base de plantas.,0.8901041746139526
67,"desde nuestro estado de ánimo hasta nuestro sistema inmunológico, el estilo de vida vegano nos proporciona una gran variedad de beneficios para la salud.","el veganismo tiene muchas ventajas para nuestra salud, tanto para nuestro sistema inmunológico como para nuestro estado de ánimo.",0.8901584148406982
68,una alimentación enteramente sin carne o producto animal tienen un gran potencial para evitar las causas de mortalidad más frecuentes en europa.,la nutrición sin productos animal elevan el potencial para evitar la causa de mortalidad más frecuente en europa.,0.8908950090408325
69,"el consumo de estos alimentos ha ido en aumento por los estilos de vida que se han ido adquiriendo y son accesibles, en general.",estos alimentos han ido creciendo debido al estilo de vida adquirido ya que han sido accesibles.,0.8917242884635925
70,"otra ventaja es que no se debe esperar mucho tiempo para cocinar los alimentos, aunque también se pueden preparar platos delicados, divertidos y sorprendentes y crear delicias.","otro beneficio es que los alimentos no tardan mucho en ser cocinados además platos deliciosos, divertidos, sorprendentes y delicias pueden ser preparados.",0.8925960063934326
71,"una ventaja bastante positiva de este método es la reducción de peso. generalmente, los veganos no sufren de obesidad.","algo muy benéfico de esta dieta es la pérdida de peso, pues las personas que siguen esta alimentación no suelen ser obesos.",0.8927708268165588
72,"la dieta común de las personas consiste en carnes, frutas, vegetales y todo cuanto sea comestible y se encuentre a nuestro alcance.","la alimentación general de la mayoría de la población está compuesta por alimentos cárnicos, frutos, hortalizas, y cualquier cosa apta para el consumo humano y con disponibilidad.",0.8929696083068848
73,las hormonas como el estrógeno pueden ser responsables de causar cáncer si los niveles se vuelven excesivos.,"si la nivelación de hormonas como el estrógeno se vuelve desmesurada, pueden ser causantes de cáncer.",0.8942290544509888
74,proteger el medio ambiente es beneficioso para todos nosotros y el hecho de ser vegano tiene un impacto positivo en esto.,todos nosotros nos beneficiamos de proteger al medio ambiente y tiene una gran ventaja positiva en todo esto el hecho de ser vegano.,0.8957005143165588
75,"estas dietas tienen un alto valor nutricional, pero en ausencia de carne, es vital e importante asegurarse de consumir todas las cantidades correctas de proteínas.","esta dieta se caracteriza por la ausencia de carne y otros productos de origen animal, aunque consumen un alto contenido de nutrientes, vitaminas y proteínas necesarios para vivir.",0.8983781933784485
76,"sin embargo, para cuidar de la salud, se deberían comer ciertos alimentos y restringir otros cuantos.","no obstante, para mantener una dieta saludable, deberíamos procurar ciertos alimentos, así como disminuir o evitar el consumo de otros.",0.8991141319274902
77,"la producción de carne y otros productos animales supone una pesada carga para el medio ambiente, desde cultivos y agua necesarios para alimentar a los animales.","la generación de productos cárnicos y la producción de carne provocan una gran fatiga a la naturaleza, desde la generación de granos y agua para alimentar el ganado.",0.8995987772941589
78,"además, tienen más de ciertas moléculas que se unen a las hormonas sexuales que circulan en la sangre y tienen la función de mantenerlas inactivas hasta que se necesiten.","también, disponen de ciertas moléculas en mayor cantidad que se fusionan con hormonas sexuales que circulan en el torrente sanguíneo y cumplen con el objetivo de dejarlas inactivas hasta que sean requeridas.",0.9005222916603088
79,"estas dietas tienen un alto valor nutricional, pero en ausencia de carne, es vital e importante asegurarse de consumir todas las cantidades correctas de proteínas.","estos regímenes alimenticios proporcionan muchos nutrientes, sin embargo es necesario garantizar el consumo de proteínas suficientes, a la falta de alimentos de origen animal.",0.9005234241485596
80,"de igual forma, los veganos disfrutan de vidas más largas y saludables en comparación con aquellos que consumen carne.","de la misma manera, el disfrutar de largas vidas llenas de salud es común entre los veganos a diferencia de quienes consumen alimentos cárnicos.",0.9011744856834412
81,"a su vez, esto puede mejorar el estado de ánimo. investigaciones han revelado que los veganos pueden ser más felices que sus homólogos carnívoros.","el estado anímico es mejorado. a diferencia de los homólogos carnívoros, los que consumen vegetales suelen sentirse más afortunados.",0.90241938829422
82,"estas dietas tienen un alto valor nutricional, pero en ausencia de carne, es vital e importante asegurarse de consumir todas las cantidades correctas de proteínas.","este tipo de dietas contienen un gran valor nutricional, sin embargo, es importante comer la cantidad correcta de proteínas debido a la falta de carne en nuestra dieta.",0.9025694131851196
83,esta es una opción definitivamente muy saludable que trae consigo inmensos beneficios.,el veganismo es una opción de dieta muy saludable que ofrece muchos beneficios.,0.9031171798706055
84,"la producción de carne y otros productos animales supone una pesada carga para el medio ambiente, desde cultivos y agua necesarios para alimentar a los animales.","la industria de la carne y otros productos de origen animal conlleva un gran peso para la naturaleza, desde sembradíos y recursos hídricos indispensables para la alimentación del ganado.",0.9034256935119629
85,una alimentación enteramente sin carne o producto animal tienen un gran potencial para evitar las causas de mortalidad más frecuentes en europa.,"una dieta vegana, podría contribuir grandemente a evitar las causas de mortalidad más comunes en europa.",0.903775691986084
86,"hay un elemento de frescura en la mayoría de los platos a base de plantas, especialmente cuando se trata de productos orgánicos.","en el caso de platos basados en plantas, particularmente en productos orgánicos, se pueden observar más elementos de frescura.",0.9069780111312866
87,"otra ventaja es que no se debe esperar mucho tiempo para cocinar los alimentos, aunque también se pueden preparar platos delicados, divertidos y sorprendentes y crear delicias.","una ventaja más de este estilo de vida es que los alimentos se preparan rápidamente y también se pueden preparar platillos exquisitos, deliciosos, creativos e interesantes.",0.9078246355056763
88,"estas dietas tienen un alto valor nutricional, pero en ausencia de carne, es vital e importante asegurarse de consumir todas las cantidades correctas de proteínas.","en ausencia de la carne en dietas alternativas, es de vital importancia tener un equilibrio de proteínas porque ella tiene un alto valor de nutrientes.",0.9104675054550171
89,la dieta vegana desempeña un papel relevante en la reducción de ataques de migraña porque estas se relacionan a menudo con alimentos como el chocolate y el queso.,en la dieta vegana se suele desempeñar un papel importante para evitar la migraña debido a que esta se asocia al queso y chocolate.,0.9107505083084106
90,"hay un elemento de frescura en la mayoría de los platos a base de plantas, especialmente cuando se trata de productos orgánicos.","la frescura está presente en muchos de los platillos compuestos por plantas y vegetales, sobre todo con productos naturales.",0.9108510613441467
91,"de igual forma, los veganos disfrutan de vidas más largas y saludables en comparación con aquellos que consumen carne.","por otro lado, los veganos suelen vivir más tiempo y de manera más saludable.",0.9122753739356995
92,"sin embargo, para cuidar de la salud, se deberían comer ciertos alimentos y restringir otros cuantos.","por otra parte, para una mejor salud física, deben consumirse algunos alimentos y evitar algunos otros.",0.9152441024780273
93,"las enfermedades transmitidas por los alimentos, las bacterías, los parásitos y las toxinas químicas son más comunes en carnes comerciales.","las carnes comerciales contienen y transmiten bacterias, parásitos y toxinas.",0.91608726978302
94,"aunque no sólo el cuerpo sale beneficiado, pues es posible proteger el medio ambiente porque se requiere menos energía y tierras de cultivo para alimentar a un vegano.","cuidar el planeta es otro de los beneficios, pues alimentar a un vegano explota menos recursos.",0.916239321231842
95,"aunque no sólo el cuerpo sale beneficiado, pues es posible proteger el medio ambiente porque se requiere menos energía y tierras de cultivo para alimentar a un vegano.",suele presentar un efecto grande al medio ambiente ya que se requiere menos espacio y energía para alimentar a una persona vegana.,0.9183425307273865
