,Oración 1,Oración 2
0,"con esta tradición, se busca rendir tributo a los antepasados familiares, a los difuntos cercanos o a personajes importantes.","el altar es una construcción social simbólica, resultado de la mezcla entre la ideología y cosmovisión prehispánicas con las creencias traídas por los colonizadores."
1,los indígenas compartían la creencia de la existencia de una entidad anímica en el cuerpo que le daba identidad y que lo abandona al morir para ir a una existencia ultraterrenal.,"los indígenas creían que al morir la entidad anímica que daba identidad al cuerpo, lo abandona y se va al más allá."
2,"esa conciencia pervivía en el lugar de los muertos, en donde requería alimento y algunas ayudas espirituales que podían ser otorgadas para permitirles continuar su existencia inmortal.",a pesar del tiempo ese conocimiento seguía en el lugar de los muertos. se requería alimento y algunas ayudas espirituales que se les otorgaba para continuar con su existencia inmortal.
3,en los ritos funerarios de estas civilizaciones era común dejar la sepultura de objetos de uso cotidiano como herramientas de oficio para ayudar al difunto en su travesía al otro mundo.,"por tanto, en estas civilizaciones, durante los ritos funerarios era muy común que se dejaran objetos cotidianos por ejemplo herramientas de oficio y que eran de ayuda para el difunto en su travesía al otro mundo."
4,la representación de los altares de muertos ha cambiado a través de los siglos desde la introducción de la religión católica en el méxico prehispánico.,"a partir de que se introdujo la religión católica al méxico prehispánico, los altares para los muertos han cambiado con el paso de los siglos."
5,"usualmente, los altares están compuestos por varios niveles que representan la cosmovisión, el mundo material y el inmaterial.","comúnmente, los altares cuentan con diferentes niveles, los cuales representan el mundo material, el inmaterial y la cosmovisión."
6,los altares de dos niveles son una representación de la división del cielo y la tierra.,los altares que tienen dos niveles hacen referencia a la división entre la tierra y el cielo.
7,"los altares de tres niveles muestran el cielo, la tierra y el inframundo.","el cielo, la tierra y el inframundo son representados en los altares de tres niveles."
8,los altares de siete niveles son los más convencionales y representan los siete niveles que debe atravesar el alma para poder llegar al descanso.,los altares de siete niveles son los más comunes ya que representan los niveles por los que el alma debe atravesar para llegar al descanso.
9,los colores y el ánimo mexicano son factores fundamentales en esta época del año que resaltan lo especial de esta fecha.,estas festividades son bastante conocidas y emocionantes y esto es lo que resalta la importancia que tiene la fecha para el pueblo.
10,"esa conciencia pervivía en el lugar de los muertos, en donde requería alimento y algunas ayudas espirituales que podían ser otorgadas para permitirles continuar su existencia inmortal.","este tipo de ideología pervive en donde se encuentran los muertos, pues se necesita alimento y otras guías que les permita mantener su existencia inmortal."
11,en los ritos funerarios de estas civilizaciones era común dejar la sepultura de objetos de uso cotidiano como herramientas de oficio para ayudar al difunto en su travesía al otro mundo.,en las ceremonias de luto que se llevan a cabo en estas civilizaciones se solía enterrar los objetos y herramientas del difunto para que le sea más fácil transportarse al otro mundo.
12,"usualmente, los altares están compuestos por varios niveles que representan la cosmovisión, el mundo material y el inmaterial.","con frecuencia, los altares se componen de niveles en los cuales se representan la cosmovisión y el mundo en su fase real e inmaterial."
13,los altares de dos niveles son una representación de la división del cielo y la tierra.,"aquellos que tienen dos niveles, representan la división entre lo terrenal y el firmamento."
14,"los altares de tres niveles muestran el cielo, la tierra y el inframundo.","los de tres niveles, muestran la conexión entre las dos anteriores y el inframundo."
15,los altares de siete niveles son los más convencionales y representan los siete niveles que debe atravesar el alma para poder llegar al descanso.,"los que se componen de siete niveles son los más usados, puesto que son la representación de las etapas que el alma atraviesa con el fin de poder descansar."
16,"las calaveras son dulces que representan alusiones a la muerte, pueden ser de azúcar, chocolate o amaranto.","asimismo, las calaveras son dulces que representan la muerte y pueden estar echas de azúcar o amaranto, entre otras."
17,"el dulce no es lo único comestible en una ofrenda, ya que también se pone comida, la cual debe ser del agrado del fallecido.","sin embargo, no todo se trata sobre dulces, la comida es un factor fundamental y debe ser del gusto del fallecido."
18,"la tortilla, los platos de mole y pozole son frecuentes en la cocina criolla y, por tanto, en los altares.","en la cocina criolla, algunos elementos relevantes son la tortilla, los platos de mole y el pozole."
19,el pan de muerto también forma parte de la ofrenda hacia los muertos.,el pan de muerto es un elemento crucial en estas instalaciones.
20,otras bebidas como el tequila son servidas en envases de barro para mantener el tradicionalismo. puede incluirse cualquier bebida del gusto del difunto.,"por otro lado, las bebidas no pueden faltar, el tequila servido en envases de barro para conservar las tradiciones. así que puede ponerse cualquier bebida que le guste al difunto."
21,"la dieta común de las personas consiste en carnes, frutas, vegetales y todo cuanto sea comestible y se encuentre a nuestro alcance.","la alimentación a base de verduras, proteínas y frutos es lo más apropiado para el ser humano, sin omitir las nuevas combinaciones de todo nuestro ecosistema."
22,"sin embargo, para cuidar de la salud, se deberían comer ciertos alimentos y restringir otros cuantos.",el cuidado de nosotros debe de consistir en todos los productos sanos que ingerimos a nuestro cuerpo.
23,"estas dietas tienen un alto valor nutricional, pero en ausencia de carne, es vital e importante asegurarse de consumir todas las cantidades correctas de proteínas.","al tener un régimen nutritivo con la ausencia de pulpa animal, se deben de tomar medidas un poco más estrictas con referente al suplemento de las cantidades de proteínas ausentes."
24,"asimismo, es más fácil prevenir distintos tipos de enfermedades como las cardíacas debido al hecho de que contienen menos grasas saturadas.",la dieta vegetariana previene malestares cardiovasculares ya que no contiene nada de origen del puerco.
25,"las enfermedades transmitidas por los alimentos, las bacterías, los parásitos y las toxinas químicas son más comunes en carnes comerciales.",gracias a las combinaciones genéticas y al poco cuidado que se tienen en las granjas es más fácil contagiarse de virus o insectos de la carne que se encuentra en supermercados.
26,una alimentación enteramente sin carne o producto animal tienen un gran potencial para evitar las causas de mortalidad más frecuentes en europa.,en la unión europea se ha implementado una dieta a base de plantas ya que aumenta el índice de vida.
27,la dieta vegana desempeña un papel relevante en la reducción de ataques de migraña porque estas se relacionan a menudo con alimentos como el chocolate y el queso.,"los productos que provienen de la vaca y del cacao están relacionados con problemas neurológicos, la alimentación vegetariana estricta evita este tipo de alimentos y con eso mejoran su calidad de vida."
